Created,9/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,"Hispanic/Latino 
Age 3 to 5 
","American Indian or
Alaska Native 
Age 3 to 5 
","Asian 
Age 3 to 5 
","Black or 
African American
Age 3 to 5 
","Native Hawaiian 
or Other Pacific Islander
Age 3 to 5 
","White
Age 3 to 5 
","Two or more races
Age 3 to 5 
","Age 3-5
 R/E
total ",Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 6 to 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 14 to 21,Age 6 to 21,Age 3 to 21,"Hispanic/Latino
Age 6 to 21
","

American Indian 
or Alaska Native 
Age 6 to 21 
","Asian 
Age 6 to 21 
","Black or 
African American
Age 6 to 21 
","Native Hawaiian 
or Other Pacific Islander
Age 6 to 21
","White
Age 6 to 21
","Two or more races
Age 6 to 21 
","Age 6 to 21
 R/E
total "
2011,Georgia                                                ,Specific learning disabilities     ,6,12,26,44,         x,0,0,21,         x,17,         x,44,188,"1,098","2,339","4,298","5,256","5,991","19,170","6,138","5,857","5,784","5,551","5,209","4,825","52,534","33,364","2,373",496,68,10,"2,947","24,316","55,481","55,525","7,890",152,621,"22,141",32,"23,245","1,400","55,481"
2011,Georgia                                                ,Deaf-blindness                     ,0,         x,0,         x,0,0,0,         x,0,         x,0,         x,0,         x,         x,         x,         x,         x,         x,         x,0,0,         x,         x,         x,16,         x,         x,         x,         x,         x,5,10,21,         x,         x,0,         x,8,0,10,0,         x
2011,Georgia                                                ,Multiple disabilities              ,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -
2011,Georgia                                                ,Autism                             ,168,258,385,811,90,         x,43,291,         x,355,27,811,580,763,"1,025","1,128","1,234","1,166","5,896",994,916,865,771,734,606,"10,782","4,886",367,222,162,105,856,"3,832","11,638","12,449",869,19,440,"3,979",10,"5,936",385,"11,638"
2011,Georgia                                                ,Traumatic brain injury             ,         x,         x,9,         x,         x,         x,         x,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,         x,40,         x,         x,45,372,         x,26,20,6,9,61,241,433,         x,         x,0,         x,179,0,192,15,         x
2011,Georgia                                                ,Developmental delay                ,"2,077","2,978","3,928","8,983","1,291",17,203,"3,510",15,"3,649",298,"8,983","4,154","3,636","2,491",450,         -,         -,"10,731",         -,         -,         -,         -,         -,         -,"10,731",         -,         -,         -,         -,         -,         -,         -,"10,731","19,714","1,416",23,191,"4,264",5,"4,503",329,"10,731"
2011,Georgia                                                ,All disabilities                   ,"3,426","5,135","7,978","16,539","2,015",33,372,"5,637",28,"7,927",527,"16,539","10,075","11,216","12,195","13,513","14,358","14,431","75,788","14,123","13,688","13,222","12,962","12,350","11,225","153,358","77,570","6,042","2,025",964,495,"9,526","59,285","162,884","179,423","16,676",385,"2,474","64,515",106,"74,070","4,658","162,884"
2011,Guam                                                   ,Intellectual disabilities             ,0,0,         x,         x,0,0,0,0,         x,         x,         x,         x,         x,5,         x,0,         x,6,19,         x,         x,12,12,         x,7,70,51,6,5,         x,         x,13,51,83,         x,0,0,16,0,65,0,         x,         x
2011,Guam                                                   ,Hearing impairments                ,         x,0,         x,         x,0,0,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,5,         x,         x,         x,         x,7,         x,         x,         x,24,         x,         x,0,0,         x,16,49,         x,0,0,         x,0,39,0,0,         x
2011,Guam                                                   ,Speech or language impairments     ,         x,         x,50,87,         x,0,         x,0,         x,         x,         x,87,41,38,30,         x,17,         x,152,         x,         x,         x,         x,0,         x,165,13,0,0,0,0,0,         x,165,252,0,         x,43,         x,119,0,         x,165
2011,Guam                                                   ,Visual impairments                 ,         x,         x,         x,         x,0,0,0,0,         x,0,0,         x,0,         x,         x,         x,         x,         x,         x,         x,0,         x,         x,0,         x,         x,         x,         x,0,0,0,         x,         x,13,         x,0,0,         x,0,12,0,0,         x
2011,Guam                                                   ,Emotional disturbance              ,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,         x,         x,9,8,25,8,18,10,17,14,14,106,81,         x,         x,0,0,10,65,116,116,0,0,         x,         x,108,         x,         x,116
2011,Guam                                                   ,Orthopedic impairments             ,0,0,         x,         x,0,0,         x,0,         x,0,0,         x,         x,0,         x,0,0,         x,         x,0,         x,0,         x,         x,         x,         x,         x,         x,0,0,0,         x,         x,19,         x,0,0,         x,0,         x,0,         x,         x
2011,Guam                                                   ,Other health impairments           ,         x,         x,         x,         x,         x,0,         x,0,9,0,0,         x,11,7,22,13,18,18,89,19,14,14,13,         x,12,         x,         x,0,         x,0,0,         x,49,171,         x,0,0,15,         x,151,         x,         x,         x
2011,Guam                                                   ,Specific learning disabilities     ,         x,0,         x,         x,0,0,         x,0,         x,0,0,         x,7,19,35,58,79,99,297,99,123,98,109,108,110,944,647,61,15,         x,         x,78,503,"1,022",         x,         x,         x,102,0,896,10,9,         x
2011,Guam                                                   ,Deaf-blindness                     ,0,0,0,0,         x,0,0,0,0,0,0,         x,0,0,0,0,0,         x,         x,0,         x,0,0,0,0,         x,         x,0,0,         x,0,         x,         x,         x,         x,0,0,0,0,         x,0,0,         x
2011,Guam                                                   ,Multiple disabilities              ,0,0,         x,         x,0,0,0,0,         x,0,0,         x,         x,6,         x,6,10,8,38,7,9,6,         x,         x,         x,         x,         x,         x,         x,         x,0,         x,19,73,         x,0,0,13,0,56,         x,         x,         x
2011,Guam                                                   ,Autism                             ,         x,         x,7,16,         x,0,         x,0,8,0,0,16,         x,17,13,10,         x,14,67,         x,         x,12,6,7,         x,110,43,6,         x,         x,0,11,40,121,137,0,0,50,0,64,         x,         x,121
2011,Guam                                                   ,Traumatic brain injury             ,0,0,0,0,         x,0,0,0,0,0,0,         x,0,0,0,0,0,0,0,0,0,         x,0,         x,0,         x,         x,0,0,0,0,0,         x,         x,         x,0,0,0,0,         x,0,0,         x
2011,Guam                                                   ,Developmental delay                ,         x,         x,         x,50,         x,0,         x,0,36,         x,0,50,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,50,         -,         -,         -,         -,         -,         -,         -,         -
2011,Guam                                                   ,All disabilities                   ,44,53,82,179,         x,0,         x,0,128,         x,         x,179,74,94,116,110,153,177,724,156,191,159,173,154,156,"1,713",989,86,28,         x,         x,121,763,"1,834","2,013",         x,         x,257,         x,"1,527",18,22,"1,834"
2011,Hawaii                                                 ,Intellectual disabilities             ,         x,         x,8,18,         x,0,7,         x,         x,0,         x,18,25,31,53,99,104,99,411,96,100,77,116,117,113,"1,030",619,77,37,12,0,126,549,"1,156","1,174",62,7,325,34,538,116,74,"1,156"
2011,Hawaii                                                 ,Hearing impairments                ,18,10,14,42,         x,0,6,         x,22,5,5,42,18,15,28,35,23,33,152,35,21,10,27,30,23,298,146,7,         x,         x,0,10,100,308,350,10,         x,91,         x,151,         x,21,308
2011,Hawaii                                                 ,Speech or language impairments     ,22,54,97,173,29,         x,21,         x,37,53,23,173,136,120,114,63,45,22,500,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,         x,541,714,         x,         x,108,20,181,139,33,541
2011,Hawaii                                                 ,Visual impairments                 ,         x,         x,         x,7,         x,0,         x,0,         x,         x,0,7,         x,5,8,         x,6,         x,         x,         x,         x,         x,         x,9,         x,         x,28,0,         x,0,0,         x,22,58,65,         x,0,         x,         x,         x,10,         x,58
2011,Hawaii                                                 ,Emotional disturbance              ,         x,         x,6,12,0,0,         x,         x,6,         x,         x,12,20,28,45,64,65,68,290,81,84,136,140,164,147,"1,042",752,50,         x,         x,0,58,645,"1,100","1,112",78,7,155,31,566,191,72,"1,100"
2011,Hawaii                                                 ,Orthopedic impairments             ,5,7,8,20,         x,0,6,0,7,         x,         x,20,13,10,         x,8,         x,11,50,         x,         x,         x,9,         x,0,71,21,         x,         x,         x,0,8,25,79,99,         x,0,21,0,38,         x,         x,79
2011,Hawaii                                                 ,Other health impairments           ,27,23,32,82,11,0,         x,         x,25,23,12,82,77,133,170,223,218,265,"1,086",248,243,255,273,232,230,"2,567","1,481",52,         x,         x,0,69,"1,059","2,636","2,718",179,20,450,83,"1,162",544,198,"2,636"
2011,Hawaii                                                 ,Specific learning disabilities     ,0,0,         x,         x,0,0,0,0,         x,0,         x,         x,63,208,453,813,819,946,"3,302",978,949,833,788,795,642,"8,287","4,985",203,         x,         x,0,222,"3,280","8,509",         x,564,         x,"1,827",258,"4,284",955,552,         x
2011,Hawaii                                                 ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,         x,         x,         x,         x,0,0,0,0,0,         x,10,         x,0,0,0,0,0,         x,10,10,0,0,         x,0,         x,0,0,10
2011,Hawaii                                                 ,Multiple disabilities              ,15,30,18,63,8,0,12,         x,29,         x,9,63,30,26,34,41,34,42,207,35,34,46,33,44,27,426,219,33,29,         x,         x,71,221,497,560,19,0,167,11,196,69,35,497
2011,Hawaii                                                 ,Autism                             ,71,81,105,257,24,         x,50,         x,41,89,36,257,117,108,113,93,90,82,603,83,86,81,66,66,69,"1,054",451,36,36,7,0,79,361,"1,133","1,390",62,11,399,30,238,291,102,"1,133"
2011,Hawaii                                                 ,Traumatic brain injury             ,0,0,         x,         x,0,0,0,0,         x,0,0,         x,         x,         x,         x,6,6,6,24,         x,         x,         x,6,9,         x,55,31,         x,         x,         x,0,6,         x,61,         x,         x,0,15,         x,28,13,         x,         x
2011,Hawaii                                                 ,Developmental delay                ,522,674,574,"1,770",238,7,383,58,577,280,227,"1,770",412,401,255,         -,         -,         -,"1,068",         -,         -,         -,         -,         -,         -,"1,068",         -,         -,         -,         -,         -,         -,         -,"1,068","2,838",81,5,265,32,497,108,80,"1,068"
2011,Hawaii                                                 ,All disabilities                   ,685,894,870,"2,449",317,11,499,91,754,457,320,"2,449",916,"1,090","1,278","1,449","1,416","1,580","7,729","1,581","1,539","1,452","1,467","1,474","1,262","16,504","8,775",467,146,         x,         x,652,"6,307","17,156","19,605","1,116",133,"3,840",505,"7,911","2,477","1,174","17,156"
2011,Idaho                                                  ,Intellectual disabilities             ,         x,0,         x,12,         x,0,0,0,0,         x,0,12,31,45,101,146,143,164,630,169,180,165,182,176,164,"1,666","1,036",132,65,         x,         x,239,926,"1,905","1,917",395,34,20,36,6,"1,383",31,"1,905"
2011,Idaho                                                  ,Hearing impairments                ,15,23,17,55,15,0,         x,         x,0,36,         x,55,16,33,23,20,17,22,131,19,26,16,12,20,22,246,115,10,         x,         x,0,18,88,264,319,58,         x,9,10,         x,179,         x,264
2011,Idaho                                                  ,Speech or language impairments     ,300,463,560,"1,323",144,22,14,         x,         x,"1,114",19,"1,323",786,783,741,664,644,451,"4,069",266,256,162,114,116,105,"5,088","1,019",41,         x,         x,0,57,554,"5,145","6,468",768,109,65,64,14,"4,009",116,"5,145"
2011,Idaho                                                  ,Visual impairments                 ,6,5,8,19,         x,0,         x,         x,0,12,0,         x,         x,         x,7,         x,5,         x,         x,         x,         x,         x,7,8,7,         x,48,10,         x,         x,         x,13,         x,         x,         x,21,         x,         x,0,0,         x,         x,         x
2011,Idaho                                                  ,Emotional disturbance              ,0,0,         x,         x,0,0,0,0,0,         x,0,         x,12,27,58,78,96,132,403,151,142,154,177,161,134,"1,322",919,57,14,9,0,80,706,"1,402",         x,140,33,         x,31,         x,"1,153",39,         x
2011,Idaho                                                  ,Orthopedic impairments             ,         x,         x,6,14,         x,0,0,0,0,11,         x,14,13,15,11,12,6,8,65,         x,         x,5,9,8,9,         x,         x,6,         x,         x,0,         x,         x,112,126,18,0,         x,         x,0,90,         x,112
2011,Idaho                                                  ,Other health impairments           ,16,22,32,70,13,         x,         x,0,0,53,         x,70,76,143,212,309,333,372,"1,445",381,345,349,316,269,236,"3,341","1,896",122,29,9,0,160,"1,330","3,501","3,571",367,59,18,68,9,"2,908",72,"3,501"
2011,Idaho                                                  ,Specific learning disabilities     ,0,0,         x,         x,         x,0,0,0,0,         x,0,         x,30,149,367,576,710,738,"2,570",814,653,711,631,617,579,"6,575","4,005",328,43,         x,         x,385,"2,923","6,960",         x,"1,517",191,26,96,         x,"4,996",122,         x
2011,Idaho                                                  ,Deaf-blindness                     ,0,0,0,0,         x,0,0,0,0,0,0,         x,0,         x,0,0,0,0,         x,0,         x,0,0,0,0,         x,         x,0,         x,0,0,         x,         x,         x,         x,0,0,         x,0,0,         x,0,         x
2011,Idaho                                                  ,Multiple disabilities              ,17,12,22,51,9,         x,0,0,0,39,         x,51,23,28,32,40,45,29,197,39,43,35,22,40,23,399,202,47,         x,35,         x,110,230,509,560,67,10,7,11,0,407,7,509
2011,Idaho                                                  ,Autism                             ,21,50,59,130,17,         x,         x,         x,         x,99,6,130,107,155,157,182,193,173,967,174,169,128,136,145,132,"1,851",884,71,42,         x,         x,137,678,"1,988","2,118",190,35,29,20,7,"1,672",35,"1,988"
2011,Idaho                                                  ,Traumatic brain injury             ,         x,         x,         x,8,         x,0,0,0,0,         x,0,8,         x,         x,5,         x,10,         x,         x,12,9,         x,15,12,9,91,         x,12,         x,         x,0,18,         x,109,117,21,6,0,         x,         x,79,         x,109
2011,Idaho                                                  ,Developmental delay                ,412,656,624,"1,692",352,29,12,15,5,"1,243",36,"1,692",557,511,312,111,         -,         -,"1,491",         -,         -,         -,         -,         -,         -,"1,491",         -,         -,         -,         -,         -,         -,         -,"1,491","3,183",302,41,8,14,5,"1,085",36,"1,491"
2011,Idaho                                                  ,All disabilities                   ,795,"1,239","1,345","3,379",561,57,35,26,10,"2,625",65,"3,379","1,659","1,897","2,026","2,151","2,202","2,098","12,033","2,039","1,837","1,736","1,621","1,572","1,420","22,258","10,225",836,242,135,14,"1,227","7,576","23,485","26,864","3,864",521,191,352,59,"18,032",466,"23,485"
2011,Illinois                                               ,Intellectual disabilities             ,45,52,135,232,78,         x,6,43,         x,88,11,232,363,502,836,"1,097","1,305","1,429","5,532","1,526","1,565","1,474","1,552","1,703","1,754","15,106","9,574","1,402",933,727,572,"3,634","10,117","18,740","18,972","3,445",77,440,"6,668",18,"7,725",367,"18,740"
2011,Illinois                                               ,Hearing impairments                ,125,155,162,442,118,         x,24,49,         x,230,15,442,184,260,291,291,292,263,"1,581",289,294,255,265,257,279,"3,220","1,639",135,38,18,12,203,"1,259","3,423","3,865",823,14,134,529,8,"1,824",91,"3,423"
2011,Illinois                                               ,Speech or language impairments     ,"3,804","5,888","7,649","17,341","3,365",54,411,"1,709",26,"11,258",518,"17,341","8,628","8,656","7,865","6,279","4,918","3,170","39,516","2,015","1,230",595,359,286,232,"44,233","4,717",88,24,         x,         x,129,"1,601","44,362","61,703","8,602",165,"1,285","5,933",60,"27,045","1,272","44,362"
2011,Illinois                                               ,Visual impairments                 ,29,40,46,115,26,0,5,         x,         x,64,         x,115,76,         x,77,88,87,90,         x,96,         x,         x,82,84,81,         x,500,36,29,         x,         x,         x,408,"1,061","1,176",201,         x,         x,         x,         x,591,28,"1,061"
2011,Illinois                                               ,Emotional disturbance              ,         x,         x,65,79,         x,0,         x,22,0,43,         x,79,244,468,749,997,"1,224","1,383","5,065","1,600","1,987","2,223","2,587","2,746","2,646","18,854","13,789","1,294",392,106,50,"1,842","12,044","20,696","20,775","2,411",79,196,"6,589",13,"10,714",694,"20,696"
2011,Illinois                                               ,Orthopedic impairments             ,74,97,118,289,56,0,15,43,0,169,6,289,123,114,114,97,104,125,677,104,100,112,99,111,109,"1,312",635,86,40,22,23,171,602,"1,483","1,772",297,         x,49,257,         x,840,33,"1,483"
2011,Illinois                                               ,Other health impairments           ,168,241,320,729,135,         x,         x,87,0,461,26,729,591,"1,069","1,530","2,006","2,402","2,456","10,054","2,662","2,741","2,702","2,775","2,599","2,389","25,922","15,868","1,093",217,85,40,"1,435","11,900","27,357","28,086","2,932",109,360,"3,889",26,"19,191",850,"27,357"
2011,Illinois                                               ,Specific learning disabilities     ,         x,         x,74,115,38,0,0,16,         x,53,         x,115,564,"2,065","4,533","6,994","9,308","10,485","33,949","11,058","11,633","11,353","11,200","11,327","10,828","101,348","67,399","5,567","1,060",244,78,"6,949","51,657","108,297","108,412","27,027",507,"1,144","26,547",98,"50,359","2,615","108,297"
2011,Illinois                                               ,Deaf-blindness                     ,         x,0,0,         x,0,0,0,         x,0,         x,0,         x,0,         x,         x,         x,0,0,         x,         x,         x,         x,         x,         x,0,         x,9,0,         x,         x,0,         x,10,19,         x,         x,0,0,         x,         x,14,0,         x
2011,Illinois                                               ,Multiple disabilities              ,90,87,83,260,59,         x,10,41,         x,144,         x,260,127,139,124,160,160,168,878,173,152,140,128,115,110,"1,696",818,118,80,73,65,336,829,"2,032","2,292",342,         x,67,313,         x,"1,262",41,"2,032"
2011,Illinois                                               ,Autism                             ,439,604,716,"1,759",405,         x,107,281,         x,885,73,"1,759","1,031","1,188","1,443","1,509","1,429","1,429","8,029","1,356","1,234","1,109","1,012",995,925,"14,660","6,631",612,376,300,196,"1,484","5,525","16,144","17,903","2,289",55,781,"2,505",37,"10,015",462,"16,144"
2011,Illinois                                               ,Traumatic brain injury             ,         x,20,22,         x,         x,0,         x,18,0,         x,0,         x,32,         x,         x,         x,47,42,         x,         x,         x,         x,         x,         x,71,         x,358,46,         x,10,9,         x,350,661,         x,         x,         x,         x,203,0,318,18,         x
2011,Illinois                                               ,Developmental delay                ,"4,008","5,574","5,937","15,519","3,622",61,556,"2,291",36,"8,361",592,"15,519","4,708","3,823","2,402",805,         -,         -,"11,738",         -,         -,         -,         -,         -,         -,"11,738",         -,         -,         -,         -,         -,         -,         -,"11,738","27,257","2,527",52,324,"2,167",15,"6,222",431,"11,738"
2011,Illinois                                               ,All disabilities                   ,"8,830","12,786","15,327","36,943","7,926",128,"1,153","4,617",76,"21,784","1,259","36,943","16,671","18,369","20,000","20,362","21,276","21,040","117,718","20,921","21,072","20,096","20,133","20,291","19,424","239,655","121,937","10,477","3,215","1,611","1,055","16,358","96,302","256,013","292,956","51,003","1,076","4,835","55,794",283,"136,120","6,902","256,013"
2011,Indiana                                                ,Intellectual disabilities             ,88,145,428,661,86,         x,         x,130,0,402,32,661,673,822,960,"1,021","1,178","1,229","5,883","1,346","1,355","1,335","1,412","1,431","1,415","14,177","8,294","1,183",494,242,192,"2,111","7,704","16,288","16,949","1,187",73,107,"3,950",7,"10,256",708,"16,288"
2011,Indiana                                                ,Hearing impairments                ,65,80,86,231,19,0,         x,25,         x,168,11,231,120,143,158,158,186,174,939,182,167,148,177,166,158,"1,937",998,105,26,         x,         x,138,787,"2,075","2,306",169,         x,68,207,         x,"1,540",81,"2,075"
2011,Indiana                                                ,Speech or language impairments     ,"2,372","3,419","4,932","10,723",894,14,115,951,9,"8,238",502,"10,723","6,087","6,249","5,607","4,594","3,425","2,192","28,154","1,209",690,357,210,154,100,"30,874","2,720",54,7,0,0,61,882,"30,935","41,658","2,395",116,324,"2,841",16,"23,794","1,449","30,935"
2011,Indiana                                                ,Visual impairments                 ,19,25,35,79,6,0,0,         x,0,64,         x,79,62,57,71,72,82,88,432,65,71,74,78,68,         x,         x,         x,         x,8,         x,         x,         x,336,904,983,58,         x,         x,116,0,675,35,904
2011,Indiana                                                ,Emotional disturbance              ,         x,         x,59,68,         x,         x,0,6,0,51,5,68,180,356,515,677,848,984,"3,560","1,201","1,367","1,402","1,517","1,649","1,482","12,178","8,618",797,203,39,17,"1,056","7,106","13,234","13,302",429,68,         x,"2,564",         x,"9,326",833,"13,234"
2011,Indiana                                                ,Orthopedic impairments             ,66,67,110,243,24,         x,         x,21,0,177,12,243,123,103,116,93,131,102,668,106,97,113,97,112,121,"1,314",646,62,22,         x,         x,92,535,"1,406","1,649",98,         x,24,126,         x,"1,098",54,"1,406"
2011,Indiana                                                ,Other health impairments           ,124,144,289,557,43,         x,         x,63,0,421,25,557,510,726,980,"1,195","1,311","1,315","6,037","1,352","1,405","1,315","1,301","1,259","1,076","13,745","7,708",624,125,16,7,772,"5,723","14,517","15,074",571,         x,77,"1,805",         x,"11,283",724,"14,517"
2011,Indiana                                                ,Specific learning disabilities     ,         x,         x,142,157,9,0,         x,         x,0,131,8,157,375,"1,020","2,085","3,149","4,024","4,718","15,371","5,197","5,480","5,586","5,601","5,496","5,329","48,060","32,689","3,704",796,96,25,"4,621","26,633","52,681","52,838","4,016",222,179,"7,354",18,"38,582","2,310","52,681"
2011,Indiana                                                ,Deaf-blindness                     ,0,         x,         x,         x,0,0,         x,         x,0,         x,0,         x,         x,0,         x,         x,         x,         x,         x,         x,         x,0,         x,         x,         x,         x,         x,         x,0,         x,         x,         x,8,26,         x,         x,0,0,         x,0,21,0,         x
2011,Indiana                                                ,Multiple disabilities              ,88,79,120,287,34,0,         x,45,0,189,         x,287,144,156,131,126,117,153,827,139,167,141,134,120,127,"1,655",828,103,81,58,65,307,829,"1,962","2,249",121,         x,18,228,         x,"1,506",82,"1,962"
2011,Indiana                                                ,Autism                             ,170,226,534,930,90,         x,         x,132,0,652,41,930,729,861,967,946,"1,002","1,042","5,547",955,917,898,827,829,681,"10,654","5,107",512,170,81,69,832,"4,067","11,486","12,416",592,         x,146,"1,021",         x,"9,208",486,"11,486"
2011,Indiana                                                ,Traumatic brain injury             ,9,10,         x,         x,         x,0,0,5,0,         x,         x,         x,         x,20,         x,         x,         x,         x,         x,         x,         x,32,         x,         x,         x,         x,253,43,17,         x,         x,         x,252,461,         x,         x,         x,         x,         x,0,327,20,         x
2011,Indiana                                                ,Developmental delay                ,"1,581","1,930",690,"4,201",392,         x,36,460,         x,"3,079",224,"4,201",         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,"4,201",         -,         -,         -,         -,         -,         -,         -,         -
2011,Indiana                                                ,All disabilities                   ,"4,585","6,147","7,440","18,172","1,605",29,196,"1,851",13,"13,595",883,"18,172","9,022","10,513","11,607","12,066","12,327","12,028","67,563","11,795","11,755","11,401","11,400","11,330","10,607","135,851","68,288","7,228","1,949",558,389,"10,124","54,862","145,975","164,147","9,675",587,971,"20,287",57,"107,616","6,782","145,975"
2011,Iowa                                                   ,Intellectual disabilities             ,282,443,562,"1,287",113,         x,18,76,         x,"1,024",49,"1,287",640,685,788,871,899,905,"4,788",892,885,860,855,807,758,"9,845","5,057",396,131,51,6,584,"3,864","10,429","11,716",992,75,99,919,12,"8,026",306,"10,429"
2011,Iowa                                                   ,Hearing impairments                ,12,18,23,53,         x,0,0,         x,0,44,         x,53,27,28,33,36,36,36,196,36,36,35,35,32,30,400,204,16,         x,         x,0,23,155,423,476,41,         x,         x,38,         x,323,13,423
2011,Iowa                                                   ,Speech or language impairments     ,141,220,281,642,56,         x,         x,38,0,513,23,642,320,343,395,434,450,452,"2,394",445,443,430,428,404,378,"4,922","2,528",198,66,         x,         x,291,"1,931","5,213","5,855",496,37,49,460,6,"4,012",153,"5,213"
2011,Iowa                                                   ,Visual impairments                 ,         x,         x,         x,6,         x,0,0,0,0,         x,0,6,         x,         x,6,7,7,7,         x,8,         x,7,7,7,         x,         x,42,         x,         x,0,0,         x,31,83,89,8,         x,         x,         x,0,64,         x,83
2011,Iowa                                                   ,Emotional disturbance              ,157,250,318,725,62,         x,         x,43,0,581,27,725,362,388,446,492,509,512,"2,709",504,499,486,484,456,429,"5,567","2,858",224,74,         x,         x,330,"2,185","5,897","6,622",562,42,56,520,7,"4,537",173,"5,897"
2011,Iowa                                                   ,Orthopedic impairments             ,18,28,37,83,6,0,0,         x,0,70,         x,83,41,44,51,56,59,59,310,58,58,55,55,52,49,637,327,26,         x,         x,0,39,250,676,759,65,         x,6,60,         x,519,20,676
2011,Iowa                                                   ,Other health impairments           ,         x,         x,         x,6,0,0,0,0,0,6,0,6,         x,         x,6,7,7,7,         x,8,         x,7,7,7,         x,         x,42,         x,         x,0,0,         x,31,83,89,8,         x,         x,         x,0,64,         x,83
2011,Iowa                                                   ,Specific learning disabilities     ,990,"1,550","1,978","4,518",402,         x,61,276,         x,"3,570",178,"4,518","2,245","2,410","2,757","3,054","3,155","3,164","16,785","3,123","3,098","3,008","2,997","2,830","2,651","34,492","17,707","1,384",462,185,23,"2,054","13,540","36,546","41,064","3,474",262,347,"3,220",44,"28,125","1,074","36,546"
2011,Iowa                                                   ,Deaf-blindness                     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Iowa                                                   ,Multiple disabilities              ,9,15,18,42,         x,0,0,         x,0,34,         x,42,21,21,26,28,29,29,154,28,29,28,27,26,24,316,162,13,         x,         x,0,18,123,334,376,32,         x,         x,30,0,257,10,334
2011,Iowa                                                   ,Autism                             ,18,28,37,83,6,0,0,         x,0,70,         x,83,41,44,51,56,59,59,310,58,58,55,55,52,49,637,327,26,         x,         x,0,39,250,676,759,65,         x,6,60,         x,519,20,676
2011,Iowa                                                   ,Traumatic brain injury             ,5,8,9,22,         x,0,0,0,0,         x,0,22,10,11,13,14,14,14,76,14,14,13,14,13,12,156,80,         x,         x,0,0,7,59,163,185,16,         x,         x,15,0,124,5,163
2011,Iowa                                                   ,Developmental delay                ,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -
2011,Iowa                                                   ,All disabilities                   ,"1,634","2,564","3,269","7,467",655,35,97,448,9,"5,938",285,"7,467","3,717","3,984","4,572","5,055","5,224","5,244","27,796","5,174","5,134","4,984","4,964","4,686","4,392","57,130","29,334","2,295",765,300,33,"3,393","22,419","60,523","67,990","5,759",434,574,"5,336",72,"46,570","1,778","60,523"
2011,Kansas                                                 ,Intellectual disabilities             ,         x,         x,32,45,11,         x,         x,         x,0,27,         x,45,76,89,140,209,263,266,"1,043",277,299,309,292,325,300,"2,845","1,802",227,143,105,52,527,"1,753","3,372","3,417",495,49,         x,555,         x,"1,769",457,"3,372"
2011,Kansas                                                 ,Hearing impairments                ,20,26,26,72,14,0,         x,6,0,49,         x,72,30,27,38,40,47,64,246,46,48,40,29,45,28,482,236,18,6,         x,         x,27,169,509,581,98,5,17,26,0,317,46,509
2011,Kansas                                                 ,Speech or language impairments     ,844,"1,364","1,772","3,980",451,49,52,172,12,"3,114",130,"3,980","1,890","1,667","1,502","1,287",996,587,"7,929",307,179,90,57,50,37,"8,649",720,         x,         x,0,0,15,249,"8,664","12,644","1,116",88,144,440,12,"6,060",804,"8,664"
2011,Kansas                                                 ,Visual impairments                 ,6,11,14,31,5,0,         x,         x,0,22,         x,         x,         x,18,16,13,         x,22,         x,         x,         x,12,7,         x,         x,154,         x,6,         x,         x,0,12,53,166,197,         x,7,         x,16,         x,98,         x,         x
2011,Kansas                                                 ,Emotional disturbance              ,0,         x,         x,13,         x,0,         x,         x,0,8,         x,13,28,74,98,144,214,197,755,224,271,262,266,300,282,"2,360","1,605",133,26,         x,         x,168,"1,278","2,528","2,541",208,29,         x,337,         x,"1,493",447,"2,528"
